web-scraper-order,web-scraper-start-url,price,rooms,bathrooms,sizem2,zone
"1606145323-4457","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=48","1.250€","2 Hab","2 Baños","86m2","Eixample, Dreta Eixample, Barcelona"
"1606145407-4927","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=17","1.450€","3 Hab","1 Baño","80m2","Eixample, Sagrada Família, Barcelona"
"1606144688-928","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=284","800€","2 Hab","1 Baño","54m2","Eixample, Sant Antoni, Barcelona"
"1606144618-538","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=310","1.050€","3 Hab","1 Baño","80m2","carders, Ciutat Vella, Sant Pere - Santa Caterina i la Ribera, Barcelona"
"1606145262-4116","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=71","1.375€","2 Hab","1 Baño","85m2","Sarrià / Sant Gervasi, Sant Gervasi-Galvany, Barcelona"
"1606144624-569","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=308","1.700€","2 Hab","2 Baños","100m2","Carrer de Pere IV 44, Sant Martí, Parc i Llacuna del Poblenou, Barcelona"
"1606144944-2345","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=189","1.300€","2 Hab","1 Baño","65m2","Sant Martí, El Clot, Barcelona"
"1606145118-3330","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=124","2.200€","3 Hab","3 Baños","160m2","Carrer de Balmes, Eixample, Dreta Eixample, Barcelona"
"1606144779-1428","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=250","950€","2 Hab","1 Baño","42m2","Sarrià / Sant Gervasi, Sant Gervasi-Galvany, Barcelona"
"1606145399-4881","https://www.enalquiler.com/search?provincia=9&poblacion=4596&habitaciones=1&tipo_base=1&tipo=0&price_type=1&online_booking=0&locations_with_rooms%5B30%5D=Madrid&locations_with_rooms%5B9%5D=Barcelona&page=20","1.350€","2 Hab","2 Baños","77m2","Camp, Sarrià / Sant Gervasi, Sant Gervasi-Galvany, Barcelona"
